 		 Inside Get Image Trajectory Method
  			(x, y, angle values Respectively)

-301.613	-30.2264	-0.0466773
-298.61	-35.6856	-0.0475651
-295.393	-42.8633	-0.0478501
-291.392	-51.7587	-0.0479636
-284.478	-59.4637	-0.0487926
-275.683	-66.0531	-0.0498901
-263.89	-71.4741	-0.0502245
-247.452	-75.8305	-0.0506295
-235.34	-79.0108	-0.0504403
-228.254	-80.0039	-0.0508186
-218.628	-79.0594	-0.051029
-203.4	-72.8402	-0.0491147
-189.485	-71.1174	-0.0441044
-176.272	-71.3125	-0.0406686
-168.35	-71.3574	-0.0386895
-152.378	-69.5919	-0.0337617
-124.213	-62.8552	-0.0250887
-102.807	-55.1617	-0.0178808
-88.3218	-49.5168	-0.013309
-82.7281	-48.0534	-0.0114585
-84.0466	-49.8405	-0.0105253
-81.6435	-51.9113	-0.00797512
-78.4424	-55.3918	-0.00546016
-76.9366	-60.4137	-0.00352274
-77.412	-66.2752	-0.00214463
-78.8028	-72.9204	-0.000573619
-81.7149	-79.5554	0.000206257
-87.4652	-86.3588	0.000704301
-96.2118	-93.2054	0.000435433
-105.451	-99.7357	0.000131055
-114.849	-105.503	-0.000489687
-123.117	-110.078	-0.00134054
-130.157	-111.507	-0.00225407
-137.957	-111.391	-0.00218599
-148.483	-110.335	-0.0037556
-161.328	-111.843	-0.00536104
-172.752	-112.367	-0.00878185
-183.92	-112.081	-0.0127117
-194.43	-112.012	-0.0165676
-202.75	-111.196	-0.0205068
-207.797	-109.481	-0.0239916
-210.358	-107.283	-0.0262323
-210.77	-105.15	-0.0266294
-208.838	-103.302	-0.0257375
-204.248	-102.349	-0.0247238
-196.749	-101.637	-0.0248475
-187.058	-101.335	-0.0253711
-175.9	-102.092	-0.0267716
-161.831	-104.012	-0.0285972
-143.572	-107.089	-0.030505
-118.528	-111.615	-0.031346
-92.2258	-116.618	-0.0301278
-73.9033	-120.312	-0.0311002
-62.8162	-121.596	-0.0322065
-52.8778	-122.87	-0.0311525
-37.5321	-128.722	-0.0279458
-27.7737	-137.48	-0.0276724
